XH,Pts_D,Pct_D,Avg1_D,Avg2_D,Tot_D,TO_D,Pts_O,Pct_O,Avg1_O,Avg2_O,Tot_O,TO_O,classifyRes,markRes,recomRes,RankScore,Abs,Rel,trueRank,countRecom,tsne,LDA
Mississippi State,0.2087912087912088,0.22009569377990407,0.4000000000000001,0.5517241379310343,0.4000000000000001,0.4583333333333333,0.6954177897574123,0.6558139534883723,0.6964285714285714,0.7857142857142859,0.721518987341772,0.523809523809524,0,-1,-1,2.32940776,92,,89,0,"[0.7984515037692578, 0.2785087677717727]","[0.4078919278676012, 0.5403314992414986]"
Duke,0.2124542124542125,0.3875598086124401,0.4571428571428573,0.4482758620689654,0.48125,0.375,0.5741239892183287,0.43255813953488376,0.6249999999999999,0.4761904761904764,0.4873417721518986,0.2380952380952381,0,-1,1,2.44236876,85,,84,1,"[0.5394235612280884, 0.43688806198417296]","[0.44723788342952603, 0.2880730014943852]"
Louisville,0.2124542124542125,0.2966507177033492,0.14285714285714285,0.2758620689655171,0.06875000000000009,0.6666666666666665,0.5417789757412399,0.36279069767441857,0.4107142857142856,0.5000000000000001,0.3860759493670885,0.6190476190476192,0,-1,-1,1.58512972,117,,117,0,"[0.3095763023913055, 0.14491489176519562]","[0.21993512424443304, 0.5777745247052533]"
Ohio State,0.2197802197802198,0.3875598086124401,0.31428571428571433,0.3448275862068965,0.29375,0.625,0.9083557951482478,0.7441860465116281,0.7857142857142857,0.8571428571428573,0.721518987341772,0.4761904761904763,0,-1,-1,2.25393055,94,,95,0,"[0.8558639448794539, 0.17764148624372483]","[0.3877579232420138, 0.9327777769933685]"
Michigan,0.2344322344322344,0.5789473684210525,0.1142857142857144,0.2758620689655171,0.15000000000000013,0.0416666666666667,0.2641509433962264,0.4837209302325582,0.5892857142857142,0.4523809523809525,0.2658227848101265,0.7142857142857145,0,0,-1,1.63155426,116,,122,0,"[0.0869075607204893, 0.2546053592893719]","[0.20950713687060243, 0.404817603205185]"
Akron,0.2600732600732601,0.3971291866028708,0.3428571428571429,0.4482758620689654,0.4437500000000001,0.5416666666666666,0.30997304582210244,0.2837209302325583,0.5,0.38095238095238093,0.4683544303797467,0.7142857142857145,1,-1,-1,2.34663242,90,,80,0,"[0.22014145455117157, 0.3809594526297994]","[0.43096755217021143, 0.37776465772671924]"
Kansas State,0.2637362637362637,0.6937799043062204,0.3714285714285714,0.5172413793103448,0.375,0.375,0.6657681940700807,0.8232558139534885,0.4285714285714286,0.6666666666666669,0.5253164556962026,0.1428571428571429,1,-1,-1,2.84384465,62,,69,0,"[0.8790127111567555, 0.5317646534840348]","[0.547697580490389, 0.41821702387409304]"
Oregon,0.27838827838827845,0.6076555023923446,0.4000000000000001,0.5172413793103448,0.5687500000000001,0.6666666666666665,0.9245283018867924,0.9860465116279072,0.75,0.9285714285714288,0.810126582278481,0.0,2,-1,1,3.1775977,42,,43,1,"[0.9736488728342417, 0.34887409735520636]","[0.6384357806844071, 0.6278064226933379]"
Texas,0.2857142857142857,0.5358851674641149,0.31428571428571433,0.2413793103448276,0.3187500000000001,0.4166666666666666,0.27762803234501343,0.488372093023256,0.4464285714285714,0.3571428571428573,0.2215189873417721,0.5714285714285715,0,0,-1,2.1401919,101,,100,0,"[0.1347149142304449, 0.32133672991125833]","[0.3538606134525336, 0.4281831088215737]"
Virginia,0.2967032967032968,0.3588516746411485,0.17142857142857146,0.37931034482758597,0.2875000000000001,0.7083333333333333,0.3962264150943397,0.4558139534883721,0.4285714285714286,0.4047619047619048,0.3924050632911392,0.6190476190476192,0,-1,-1,2.10569073,102,,92,0,"[0.28495133285867835, 0.20829836559234227]","[0.3399921582888493, 0.3193784015966113]"
Air Force,0.30036630036630035,0.3540669856459331,0.31428571428571433,0.5862068965517241,0.3125,0.29166666666666663,0.549865229110512,0.42790697674418604,0.5714285714285714,0.4761904761904764,0.4936708860759494,0.2857142857142858,1,-1,-1,2.33971639,91,,96,0,"[0.5353051499860977, 0.4131110786672182]","[0.38757366977286983, 0.09654747015293784]"
Minnesota,0.30036630036630035,0.4641148325358852,0.5714285714285714,0.4827586206896553,0.33125000000000004,0.6666666666666665,0.4663072776280322,0.11162790697674416,0.6071428571428571,0.4761904761904764,0.2531645569620253,0.38095238095238093,1,-1,-1,2.72936216,69,,54,0,"[0.3147680075175418, 0.418250717311434]","[0.5121171632281716, 0.6435337449963355]"
Tennessee,0.30036630036630035,0.2679425837320573,0.42857142857142855,0.4482758620689654,0.2875000000000001,0.4583333333333333,0.4797843665768193,0.6697674418604652,0.4107142857142856,0.3571428571428573,0.4430379746835443,0.4761904761904763,0,-1,-1,2.30449254,93,,94,0,"[0.5383945850726635, 0.3324441164988021]","[0.3698909495718366, 0.21347834089105208]"
Miami (FL),0.3040293040293041,0.4784688995215313,0.22857142857142865,0.2758620689655171,0.3125,0.4583333333333333,0.4878706199460917,0.488372093023256,0.7142857142857142,0.7857142857142859,0.3481012658227848,0.523809523809524,0,-1,-1,2.06825731,104,,104,0,"[0.5315707291001325, 0.17026949845173517]","[0.3340548625822165, 0.7318088528612178]"
Syracuse,0.3040293040293041,0.8373205741626798,0.17142857142857146,0.3448275862068965,0.3625,0.4166666666666666,0.1617250673854448,0.2976744186046512,0.5,0.3571428571428573,0.1582278481012658,0.523809523809524,1,-1,-1,2.45906643,83,,79,0,"[0.11886741278010075, 0.37895209379218187]","[0.4498062756962671, 0.37556908985822446]"
Louisiana Tech,0.3186813186813187,0.5645933014354068,0.14285714285714285,0.31034482758620696,0.35625,0.9583333333333331,0.7088948787061994,0.4744186046511628,0.5178571428571429,0.5952380952380955,0.360759493670886,0.5714285714285715,1,-1,-1,2.46636877,82,,61,0,"[0.37678881887744947, 0.07951687237719006]","[0.43566213856328967, 0.7711115662186807]"
Florida International,0.3223443223443224,0.2822966507177034,0.3714285714285714,0.4827586206896553,0.23750000000000004,0.8749999999999998,0.3207547169811321,0.2465116279069767,0.3214285714285714,0.2142857142857143,0.12658227848101264,0.523809523809524,1,1,-1,2.39187841,87,,72,0,"[0.22589481314100632, 0.27289556993865227]","[0.3909733049395501, 0.20961144248368022]"
