XH,Pts_D,Pct_D,Avg1_D,Avg2_D,Tot_D,TO_D,Pts_O,Pct_O,Avg1_O,Avg2_O,Tot_O,TO_O,classifyRes,markRes,recomRes,RankScore,Abs,Rel,trueRank,countRecom,tsne,LDA
Ole Miss,0.0,0.5741626794258375,0.20000000000000004,0.24137931034482762,0.26249999999999996,0.7499999999999999,0.46361185983827496,0.5906976744186047,0.5178571428571429,0.6190476190476192,0.38607594936708844,0.5714285714285715,1,-1,-1,-0.76818344,112,,105,0,"[0.40975380862196215, 0.11003270845947052]","[0.12113761333806455, 0.41459334027176625]"
Stanford,0.014652014652014602,0.44497607655502397,0.08571428571428578,0.06896551724137936,0.1625000000000001,0.20833333333333331,0.4339622641509434,0.8139534883720929,0.5357142857142857,0.5952380952380955,0.39240506329113917,0.4285714285714287,0,-1,-1,-0.66844599,104,,125,0,"[0.5202550948251046, 0.008058855043058259]","[0.10117854267836753, 0.3266268990104356]"
Clemson,0.02564102564102562,0.11004784688995206,0.0571428571428572,0.0,0.0,0.4583333333333333,0.5309973045822103,0.7953488372093026,0.39285714285714285,0.4761904761904764,0.39240506329113917,0.33333333333333337,0,-1,1,-1.28692629,122,,127,1,"[0.4839167057239032, 0.0]","[0.0, 0.686947124188505]"
LSU,0.05494505494505495,0.19138755980861252,0.42857142857142855,0.31034482758620696,0.08125000000000004,0.3333333333333333,0.444743935309973,0.12093023255813964,0.6071428571428571,0.5238095238095238,0.3734177215189872,0.2857142857142858,0,-1,1,-0.56850472,98,,121,1,"[0.43164311756584595, 0.24174724104752943]","[0.04581401774365504, 0.44380855011012493]"
Temple,0.05494505494505495,0.5263157894736844,0.2857142857142857,0.2758620689655171,0.32499999999999996,0.7499999999999999,0.3234501347708895,0.25581395348837216,0.39285714285714285,0.33333333333333337,0.06329113924050632,0.761904761904762,0,-1,1,-0.13316926,68,,90,1,"[0.2008418765603072, 0.21917713792630802]","[0.07427850841129971, 0.6175876429235124]"
Alabama,0.08791208791208786,0.3205741626794258,0.1142857142857144,0.31034482758620696,0.15625,0.29166666666666663,0.6954177897574123,0.7767441860465116,0.6785714285714285,0.7857142857142859,0.6329113924050632,0.4285714285714287,1,-1,1,-1.13115042,118,,123,1,"[0.7526796799351116, 0.14958240856515512]","[0.23427557228222362, 0.41476096626211445]"
Penn State,0.0952380952380953,0.2535885167464115,0.0285714285714286,0.1034482758620689,0.025000000000000022,0.375,0.2560646900269542,0.36744186046511634,0.28571428571428564,0.2857142857142857,0.3101265822784809,0.6190476190476192,0,-1,1,-0.48509609,94,,126,1,"[0.20710368687694927, 0.11930358144083464]","[0.04699483439836996, 0.7584568950241862]"
Texas Christian,0.1098901098901099,0.03827751196172237,0.0,0.24137931034482762,0.1625000000000001,1.0,0.954177897574124,0.6418604651162791,0.7142857142857142,0.7857142857142859,0.7088607594936708,0.4761904761904763,0,-1,-1,-2.16549854,127,,119,0,"[0.8122126786491302, 0.05305535740247479]","[0.1621720442858918, 0.8969923241548481]"
Arkansas,0.1172161172161172,0.36842105263157887,0.20000000000000004,0.379310344827586,0.1937500000000001,0.4583333333333333,0.5606469002695417,0.36279069767441857,0.6785714285714285,0.5714285714285715,0.4999999999999999,0.2857142857142858,0,-1,1,-0.73023681,109,,116,1,"[0.4751390841750718, 0.22218589783855783]","[0.1685013985559813, 0.3287559084342879]"
UCF,0.1172161172161172,0.3540669856459331,0.1142857142857144,0.17241379310344826,0.1937500000000001,0.625,0.4582210242587601,0.3906976744186047,0.3392857142857143,0.38095238095238104,0.39240506329113917,0.7142857142857145,0,-1,1,-0.685176,106,,118,1,"[0.26455620833404525, 0.14807799802722918]","[0.13261453951899882, 0.8121913065192116]"
Memphis,0.12820512820512822,0.27272727272727265,0.17142857142857146,0.24137931034482762,0.2875000000000001,0.7083333333333333,0.6765498652291105,0.7023255813953492,0.5178571428571429,0.5000000000000001,0.5253164556962026,0.38095238095238104,0,-1,1,-1.17102829,120,,111,1,"[0.4971386332562488, 0.08827115757560448]","[0.16848237915708655, 0.5192178815111474]"
Utah State,0.13553113553113552,0.30622009569377995,0.14285714285714285,0.2758620689655171,0.30625000000000013,0.5833333333333333,0.4258760107816711,0.6930232558139536,0.6428571428571429,0.5952380952380955,0.19620253164556947,0.38095238095238104,0,-1,-1,-0.67557424,105,,114,0,"[0.4695456888842235, 0.10441678884605873]","[0.12149499988595831, 0.3551007885074295]"
San Diego State,0.13919413919413923,0.3875598086124401,0.2857142857142857,0.31034482758620696,0.23750000000000004,0.5416666666666666,0.3746630727762803,0.2232558139534883,0.7321428571428572,0.5952380952380955,0.3227848101265821,0.4761904761904763,0,-1,1,-0.42305524,88,,109,1,"[0.41123687524237057, 0.21708989942440768]","[0.1369199492344328, 0.44275949307208146]"
Virginia Tech,0.15384615384615383,0.0,0.31428571428571433,0.379310344827586,0.15000000000000013,0.41666666666666663,0.35040431266846367,0.5488372093023256,0.4464285714285714,0.3571428571428573,0.3670886075949367,0.6190476190476192,0,-1,-1,-0.63248624,103,,120,0,"[0.26288161546118866, 0.07660802320889579]","[0.1408772958381732, 0.5798573552807724]"
Houston,0.16849816849816857,0.3875598086124401,0.25714285714285723,0.31034482758620696,0.30625000000000013,0.6666666666666665,0.5040431266846361,0.5953488372093024,0.6249999999999999,0.5476190476190478,0.48734177215189867,0.4761904761904763,1,-1,-1,-0.76428035,111,,101,0,"[0.46666578679178894, 0.13050477770302907]","[0.21466593704062573, 0.428153805814121]"
Georgia,0.17216117216117216,0.29186602870813383,0.3714285714285714,0.2758620689655171,0.32499999999999996,0.625,0.8140161725067384,0.92093023255814,0.857142857142857,0.8095238095238096,0.5443037974683542,0.1428571428571429,1,-1,1,-1.33034725,123,,103,1,"[0.9093224653098245, 0.16986899918548432]","[0.23174031687853255, 0.3229548676137793]"
Wisconsin,0.17582417582417587,0.06220095693779893,0.22857142857142865,0.31034482758620696,0.03125,0.20833333333333331,0.6334231805929919,0.34418604651162793,1.0,0.8095238095238096,0.48734177215189867,0.5714285714285715,0,-1,1,-0.98048293,117,,124,1,"[0.6464535534684787, 0.1257188787512937]","[0.19580791877087048, 0.7345683643993304]"
Marshall,0.18315018315018317,0.3253588516746411,0.2857142857142857,0.24137931034482762,0.45625000000000004,0.375,0.9299191374663073,0.530232558139535,0.9821428571428571,1.0,0.7468354430379747,0.4761904761904763,1,-1,1,-1.22456948,121,,110,1,"[0.8346113345413538, 0.16498820490516186]","[0.3239845199110897, 0.47233940886437875]"
Florida,0.18681318681318687,0.2583732057416268,0.1142857142857144,0.2068965517241378,0.23750000000000004,0.7499999999999999,0.5175202156334232,0.21395348837209316,0.5535714285714286,0.4285714285714287,0.2025316455696202,0.6190476190476192,0,-1,-1,-0.70164518,108,,113,0,"[0.2997854776378606, 0.170353965386172]","[0.1042053595314156, 0.8942318491356437]"
Missouri,0.18681318681318687,0.6267942583732057,0.20000000000000004,0.2758620689655171,0.33750000000000013,0.4583333333333333,0.45013477088948795,0.2651162790697673,0.5892857142857142,0.4761904761904764,0.3101265822784809,0.19047619047619058,0,-1,1,-0.16748874,71,,102,1,"[0.40578802838831035, 0.30991760773494487]","[0.17163638839320589, 0.2668016384880264]"
Boston College,0.1941391941391942,0.7033492822966508,0.08571428571428578,0.379310344827586,0.1937500000000001,0.16666666666666669,0.40700808625336926,0.37209302325581406,0.6964285714285714,0.5476190476190478,0.3037974683544304,0.1428571428571429,1,-1,-1,0.01786211,56,,115,0,"[0.413964691985305, 0.3292922031759445]","[0.2202949542057753, 0.1379654410669729]"
Michigan State,0.2014652014652015,0.23923444976076566,0.1142857142857144,0.379310344827586,0.06875000000000009,0.7916666666666666,0.8598382749326144,0.530232558139535,0.6785714285714285,0.7380952380952382,0.6582278481012657,0.23809523809523814,1,-1,-1,-1.60513435,126,,112,0,"[0.8154330889088668, 0.0750674344003548]","[0.22942987224515993, 0.7612345899894578]"
Mississippi State,0.2087912087912088,0.22009569377990412,0.4000000000000001,0.5517241379310343,0.40000000000000013,0.4583333333333333,0.6954177897574123,0.6558139534883723,0.6964285714285714,0.7857142857142859,0.721518987341772,0.523809523809524,1,-1,-1,-0.96175711,116,,89,0,"[0.7984515037692578, 0.2785087677717727]","[0.3619663971899486, 0.32713149879414566]"
Duke,0.2124542124542125,0.3875598086124401,0.4571428571428573,0.4482758620689654,0.48124999999999996,0.375,0.5741239892183287,0.43255813953488376,0.6249999999999999,0.4761904761904764,0.48734177215189867,0.23809523809523814,1,-1,-1,-0.31867678,83,,84,0,"[0.5394235612280884, 0.43688806198417296]","[0.26253886417577826, 0.10849743677971611]"
Louisville,0.2124542124542125,0.2966507177033492,0.14285714285714285,0.2758620689655171,0.06875000000000009,0.6666666666666665,0.5417789757412399,0.36279069767441857,0.41071428571428564,0.5000000000000001,0.38607594936708844,0.6190476190476192,0,-1,1,-0.8465632,114,,117,1,"[0.3095763023913055, 0.14491489176519562]","[0.18593361726435464, 1.0]"
Ohio State,0.2197802197802198,0.3875598086124401,0.31428571428571433,0.3448275862068965,0.29374999999999996,0.625,0.9083557951482478,0.7441860465116281,0.7857142857142857,0.8571428571428573,0.721518987341772,0.4761904761904763,1,-1,-1,-1.33208135,124,,95,0,"[0.8558639448794539, 0.17764148624372483]","[0.35423576009201735, 0.6441940171904451]"
Michigan,0.2344322344322344,0.5789473684210525,0.1142857142857144,0.2758620689655171,0.15000000000000013,0.0416666666666667,0.26415094339622636,0.48372093023255824,0.5892857142857142,0.45238095238095244,0.2658227848101265,0.7142857142857145,1,-1,-1,0.21455451,47,,122,0,"[0.0869075607204893, 0.2546053592893719]","[0.26829883343577027, 0.5460137605560664]"
Akron,0.26007326007326015,0.39712918660287083,0.3428571428571429,0.4482758620689654,0.4437500000000001,0.5416666666666666,0.30997304582210244,0.2837209302325583,0.49999999999999994,0.38095238095238104,0.4683544303797467,0.7142857142857145,1,-1,-1,-0.08112156,59,,80,0,"[0.22014145455117157, 0.3809594526297994]","[0.29381485682655795, 0.41532873921049657]"
Kansas State,0.26373626373626374,0.6937799043062204,0.3714285714285714,0.5172413793103448,0.375,0.375,0.6657681940700807,0.8232558139534885,0.4285714285714286,0.6666666666666669,0.5253164556962026,0.1428571428571429,1,-1,-1,-0.39951808,85,,69,0,"[0.8790127111567555, 0.5317646534840348]","[0.3921193169728724, 0.18119453831482257]"
Oregon,0.27838827838827845,0.6076555023923446,0.4000000000000001,0.5172413793103448,0.5687500000000001,0.6666666666666665,0.9245283018867924,0.9860465116279071,0.75,0.9285714285714287,0.810126582278481,0.0,1,-1,-1,-1.14874525,119,,43,0,"[0.9736488728342417, 0.34887409735520636]","[0.4528689221265671, 0.0]"
Texas,0.28571428571428575,0.5358851674641149,0.31428571428571433,0.24137931034482762,0.3187500000000001,0.41666666666666663,0.27762803234501343,0.48837209302325596,0.4464285714285714,0.3571428571428573,0.22151898734177214,0.5714285714285715,1,-1,-1,0.10429071,54,,100,0,"[0.1347149142304449, 0.32133672991125833]","[0.24262846395436993, 0.5609403306251551]"
Virginia,0.29670329670329676,0.3588516746411485,0.17142857142857146,0.379310344827586,0.2875000000000001,0.7083333333333333,0.39622641509433965,0.4558139534883721,0.4285714285714286,0.40476190476190477,0.39240506329113917,0.6190476190476192,1,-1,-1,-0.48103456,92,,92,0,"[0.28495133285867835, 0.20829836559234227]","[0.2668704126863518, 0.6938611580781425]"
Air Force,0.30036630036630035,0.3540669856459331,0.31428571428571433,0.5862068965517241,0.3125,0.29166666666666663,0.549865229110512,0.427906976744186,0.5714285714285714,0.4761904761904764,0.4936708860759494,0.2857142857142858,1,-1,-1,-0.288131,81,,96,0,"[0.5353051499860977, 0.4131110786672182]","[0.3332881735158874, 0.29027671097724406]"
Minnesota,0.30036630036630035,0.46411483253588515,0.5714285714285714,0.48275862068965525,0.33125000000000004,0.6666666666666665,0.46630727762803226,0.11162790697674416,0.6071428571428571,0.4761904761904764,0.2531645569620253,0.38095238095238104,1,-1,-1,-0.09781679,63,,54,0,"[0.3147680075175418, 0.418250717311434]","[0.24845536944871863, 0.5660570073633038]"
Tennessee,0.30036630036630035,0.26794258373205726,0.42857142857142855,0.4482758620689654,0.2875000000000001,0.4583333333333333,0.47978436657681933,0.6697674418604652,0.41071428571428564,0.3571428571428573,0.4430379746835443,0.4761904761904763,1,-1,-1,-0.41228483,87,,94,0,"[0.5383945850726635, 0.3324441164988021]","[0.3045676191959521, 0.5268219656716688]"
Miami (FL),0.30402930402930406,0.4784688995215313,0.22857142857142865,0.2758620689655171,0.3125,0.4583333333333333,0.48787061994609165,0.48837209302325596,0.7142857142857142,0.7857142857142859,0.3481012658227848,0.523809523809524,1,-1,-1,-0.44303848,90,,104,0,"[0.5315707291001325, 0.17026949845173517]","[0.2984018825210804, 0.6372209187751269]"
Syracuse,0.30402930402930406,0.8373205741626798,0.17142857142857146,0.3448275862068965,0.36250000000000004,0.41666666666666663,0.1617250673854448,0.2976744186046512,0.49999999999999994,0.3571428571428573,0.1582278481012658,0.523809523809524,1,-1,-1,0.56793974,25,,79,0,"[0.11886741278010075, 0.37895209379218187]","[0.2802043832932321, 0.35620723098288126]"
Louisiana Tech,0.3186813186813187,0.5645933014354068,0.14285714285714285,0.31034482758620696,0.35624999999999996,0.9583333333333331,0.7088948787061994,0.47441860465116276,0.5178571428571429,0.5952380952380955,0.360759493670886,0.5714285714285715,1,-1,-1,-0.81725252,113,,61,0,"[0.37678881887744947, 0.07951687237719006]","[0.308785908614934, 0.9252453753327964]"
